sigmoidal(5000 iterations),exponential(20000 iterations),linear(20000 iterations),geman(20000 iterations)
276,740,757,795
288,785,729,775
463,735,679,768
483,755,708,810
252,760,709,718
438,770,717,736
404,760,770,773
437,780,735,767
489,701,785,760
358,821,737,733
348,730,688,837
528,780,670,739
433,735,642,784
288,835,779,685
196,646,706,750
461,726,650,742
354,705,649,775
377,811,715,788
362,850,706,720
463,780,649,691
386,785,703,810
393,820,714,800
427,707,770,783
518,830,708,782
347,676,591,760
